province,city_name,一九九七,一九九八,一九九九,二零零零,二零零一,二零零二,二零零三,二零零四,二零零五,二零零六,二零零七,二零零八,二零零九,二零一零,二零一一,二零一二,二零一三,总计
甘肃,平凉,47.81,53.27,53.64,56.93,67.91,73.9,84.76,99.56,111.87,126.91,149.93,180.17,132.67,152.84,275.97,331.87,341.24,2341.25
甘肃,庆阳,38.87,45.78,48.84,51.53,57.35,67.62,78.89,106.95,143.02,171.53,200.84,248.53,228.4,271.41,434.03,526.01,606.24,3325.84
甘肃,天水,18.3,24.66,21.13,22.45,25.66,28.89,40.13,49.18,58.58,65.96,78.25,92.13,106.8,126.71,147.5,171.72,188.96,1267.01
甘肃,武威,42.15,49.7,54.56,62.08,70.53,77.48,89.91,115.87,140.4,160.5,186.76,209.66,65.25,78.48,272.86,340.51,379.78,2396.48
甘肃,张掖,49.91,54.93,55.96,61.13,66.15,73.38,80.36,97.82,105.97,120.59,139.9,160.87,95.37,105.94,237.74,265.97,307.47,2079.46
甘肃,汇总,386.16,441.78,465.3,518.32,580.23,653.2,741.97,918.07,1081.68,1253.51,1476.72,1723.43,1468.88,1716.96,2811.55,3332.09,3726.01,23295.86
广东,潮州,102.23,127.94,139.09,150.11,158.57,164.99,177.68,203.28,216.44,252.71,298.65,349.56,384.67,447.52,452.53,503.69,668.1,4797.76
广东,佛山,918.96,1009.74,1095.42,1219.95,1390.77,1547.56,1699.89,1913.76,2512.88,3120.22,3859.85,566.32,2256.34,5809.67,6258.92,3189.17,7544.72,45914.14
广东,河源,64.1,66.81,74.39,80.75,91.47,100.25,110.84,145.27,153.08,192.43,233.66,283.06,277.37,319.36,394.41,407.96,457.06,3452.27
广东,惠州,221.49,253.83,278.56,303.84,336.12,357.7,347.35,343.33,394.32,444.21,527.26,479.65,526.66,798.33,732.57,826.39,1703.42,8875.03
广东,揭阳,257.35,298.73,318.02,326.15,342.42,367.2,400.24,436.88,324.19,372.95,456.18,562.37,627.69,779.29,954.92,1087.38,1220.88,9132.84
广东,茂名,307.41,346.89,369.06,369.02,377.41,410.28,448.88,506.37,526.92,595.07,663.93,766.27,786.11,924.73,1123.51,1297.6,1438.63,11258.09
广东,梅州,128.24,137.53,146.57,154.1,166.11,176.83,193.45,226.42,249.69,276.66,323.51,379.14,403.54,479.48,541.04,592.09,631.18,5205.58
广东,清远,93.44,92.27,96.29,98.57,109.04,115.09,126.5,155.93,203.22,260.24,334.64,412.46,474.1,616.16,732.63,574.3,625.99,5120.87
广东,汕尾,83.93,96.33,109.73,116.61,130.64,142.51,158.41,183.89,160.57,186.63,221.39,257.46,274.16,322.18,384.05,421.2,463.71,3713.4
广东,韶关,260.69,283,311.67,329.33,362.94,401.64,458.49,497.9,573.77,665.85,836.36,904.6,1007.53,1294.42,1412.68,1549.04,1937.98,13087.89
广东,阳江,85.98,93.88,101.96,113.31,125.31,136.63,148.33,173.25,208.06,254.26,310.67,385.31,417.36,510.1,555.37,652.45,758.43,5030.66
广东,云浮,126.3,132.68,143.63,138.15,150.47,160.47,181.42,301.73,166.94,193.63,219.09,259.09,268.5,312.39,379.74,417.49,475.73,4027.45
广东,湛江,202.78,206.24,208.06,208.27,223.03,230.78,246.56,283.84,278.8,333.53,389.97,462.34,532.72,635.99,791.26,975.7,1045.55,7255.42
广东,肇庆,248,277.29,295.69,307.15,326.7,360.6,376.76,437.34,306.68,348.22,404.53,526.26,612.31,702.38,1011.15,1148.99,1325.38,9015.43
广东,珠海,207.36,249.81,280.24,296.66,262.42,289.87,244.25,281.01,321.55,376.26,454.73,7.12,8.02,604.46,271.34,12.34,855.6,5023.04
